JOB,SHIFT,LOCATION,SUBJOB,REGHRS,OTHRS,
HEAD CHECKER,DAY,VANTERM,PENTHOUSE (HC),8,2,10
HEAD CHECKER,DAY,VANTERM,RAIL (HC),8,2,10
HEAD CHECKER,DAY,VANTERM,TOWER (HC),8,1,9
HEAD CHECKER,GRAVEYARD,CENTENNIAL,CANOPY (HC),7.5,1,8.5
HEAD CHECKER,GRAVEYARD,CENTENNIAL,EQUIP. CONTROL (HC),6.5,1,7.5
HEAD CHECKER,GRAVEYARD,CENTENNIAL,GOPHER (HC),6.5,1,7.5
HEAD CHECKER,GRAVEYARD,CENTENNIAL,INGATE (HC),7.5,0.5,8
HEAD CHECKER,GRAVEYARD,CENTENNIAL,RAIL (HC),7.5,1,8.5
HEAD CHECKER,GRAVEYARD,CENTENNIAL,RAIL PLANNER (HC),6.5,2,8.5
HEAD CHECKER,GRAVEYARD,CENTENNIAL,RAIL PLNR -GOPHER  (HC),7.5,1,8.5
HEAD CHECKER,GRAVEYARD,CENTENNIAL,TOWER (HC),7.5,0,7.5
HEAD CHECKER,GRAVEYARD,VANTERM,CANOPY (HC),6.5,0.5,7
HEAD CHECKER,GRAVEYARD,VANTERM,INGATE (HC),6.5,1.5,8
HEAD CHECKER,GRAVEYARD,VANTERM,RAIL (HC),6.5,1,7.5
HEAD CHECKER,GRAVEYARD,VANTERM,TOWER (HC),6.5,0.5,7
HEAD CHECKER,NIGHT,CENTENNIAL,CANOPY (HC),8,1,9
HEAD CHECKER,NIGHT,CENTENNIAL,EQUIP. CONTROL (HC),8,1,9
HEAD CHECKER,NIGHT,CENTENNIAL,GOPHER (HC),8,1,9
HEAD CHECKER,NIGHT,CENTENNIAL,INGATE (HC),8,1,9
HEAD CHECKER,NIGHT,CENTENNIAL,PENTHOUSE (HC),8,2,10
HEAD CHECKER,NIGHT,CENTENNIAL,RAIL (HC),9,1,10
HEAD CHECKER,NIGHT,CENTENNIAL,RAIL PLANNER (HC),8,2,10
HEAD CHECKER,NIGHT,CENTENNIAL,RAIL PLNR -GOPHER  (HC),9,1,10
HEAD CHECKER,NIGHT,CENTENNIAL,TOWER (HC),9,1,10
HEAD CHECKER,NIGHT,CENTENNIAL,YARD PLANNER (HC),8,2,10
HEAD CHECKER,NIGHT,VANTERM,CANOPY (HC),8,1.5,9.5
HEAD CHECKER,NIGHT,VANTERM,INGATE (HC),8,1.5,9.5
HEAD CHECKER,NIGHT,VANTERM,OUTGATE (HC),8,1.5,9.5
HEAD CHECKER,NIGHT,VANTERM,PENTHOUSE (HC),8,1.5,9.5
HEAD CHECKER,NIGHT,VANTERM,RAIL (HC),8,1,9
HEAD CHECKER,NIGHT,VANTERM,TOWER (HC),8,0.5,8.5
KOMATSU,DAY,NEPTUNE,,7,1,8
LABOUR,DAY,CENTENNIAL,SHEDMEN (LAB),9,1,10
LABOUR,NIGHT,CENTENNIAL,SHEDMEN (LAB),9,1,10
LABOUR,DAY,CENTENNIAL,JANITOR (LAB),8,1,9
LABOUR,DAY,CENTENNIAL,SPARE (LAB),8,1,9
LABOUR,DAY,CENTENNIAL,UTILITY (LAB),8,1,9
LABOUR,DAY,NEPTUNE,JANITOR (LAB),8,1,9
LABOUR,DAY,NEPTUNE,SPARE (LAB),8,1,9
LABOUR,DAY,NEPTUNE,UTILITY (LAB),8,1,9
LABOUR,DAY,VAN WHARVES,HOLD (LAB),8,1,9
LABOUR,DAY,VAN WHARVES,UTILITY (LAB),8,1,9
LABOUR,GRAVEYARD,CENTENNIAL,SHEDMEN (LAB),7.5,1,8.5
LABOUR,NIGHT,VAN WHARVES,SPARE (LAB),8,0.5,8.5
LABOUR,NIGHT,VAN WHARVES,UTILITY (LAB),8,0.5,8.5
LABOUR,NIGHT,CANADA PLACE,COASTWISE (LAB),7.5,0.5,8
LABOUR,NIGHT,CANADA PLACE,BLANK,7,0.5,7.5
LIFT TRUCK,DAY,CANADA PLACE,,7,2,9
LIFT TRUCK,DAY,CENTENNIAL,,9,0,9
LIFT TRUCK,DAY,FRASER SURREY,,9,0,9
LIFT TRUCK,DAY,NEPTUNE,,9,0,9
LIFT TRUCK,GRAVEYARD,CENTENNIAL,,7.5,0,7.5
LIFT TRUCK,NIGHT,CENTENNIAL,,9,0,9
LINES,DAY,VAN WHARVES,,4,0,4.2
LIQUID BULK,DAY,PORT MOODY,,7.5,0.5,8
LIQUID BULK,GRAVEYARD,PORT MOODY,,6,0.5,6.5
LIQUID BULK,NIGHT,PORT MOODY,,7.5,0.5,8
LOCI,DAY,NEPTUNE,,7.5,0.5,8
LOCI,GRAVEYARD,NEPTUNE,,6,0.5,6.5
LOCI,NIGHT,NEPTUNE,,7.5,0.5,8
LOCI,NIGHT,VAN WHARVES,,0,9,9
LOCKERMAN,DAY,VITERRA PAC,,9,0,9
MOBILE CRANE,DAY,CANADA PLACE,,7,2,9
PLUMBER,DAY,NEPTUNE,,7.5,1.5,9
PLUMBER,DAY,VAN WHARVES,,4,4,8
RAIL MOUNTED GANTRY,DAY,CENTENNIAL,,9,0,9
RAIL MOUNTED GANTRY,GRAVEYARD,CENTENNIAL,,7.5,0,7.5
RAIL MOUNTED GANTRY,NIGHT,CENTENNIAL,,9,0,9
REACHSTACKER,DAY,CENTENNIAL,,9,0,9
REACHSTACKER,GRAVEYARD,CENTENNIAL,,7.5,0,7.5
REACHSTACKER,NIGHT,CENTENNIAL,,9,0,9
RUBBER TIRE GANTRY,DAY,VANTERM,,9,0,9
RUBBER TIRE GANTRY,GRAVEYARD,CENTENNIAL,,7.5,0,7.5
RUBBER TIRE GANTRY,GRAVEYARD,VANTERM,,7.5,0,7.5
RUBBER TIRE GANTRY,NIGHT,VANTERM,,6.5,0,6.5
STORESPERSON,DAY,CANADA PLACE,,7,2,9
STORESPERSON,DAY,NEPTUNE,,7.5,1.5,9
STORESPERSON,DAY,VANTERM,,9,0,9
STORESPERSON,NIGHT,NEPTUNE,,7.5,1.5,9
TRACTOR TRAILER,DAY,CENTENNIAL,,9,0,9
TRACTOR TRAILER,DAY,CENTENNIAL,RAIL (HC),9,0,9
TRACTOR TRAILER,DAY,CENTENNIAL,RAIL (TT),9,0,9
TRACTOR TRAILER,DAY,CENTENNIAL,SHIP (TT),9,0,9
TRACTOR TRAILER,DAY,CENTENNIAL,YARD (TT),9,0,9
TRACTOR TRAILER,DAY,DELTAPORT,SHIP (TT),8,1,9
TRACTOR TRAILER,GRAVEYARD,CENTENNIAL,BARGE (TT),6.5,0,7.5
TRACTOR TRAILER,GRAVEYARD,CENTENNIAL,RAIL (HC),7.5,0,7.5
TRACTOR TRAILER,GRAVEYARD,CENTENNIAL,RAIL (TT),7.5,0,7.5
TRACTOR TRAILER,GRAVEYARD,CENTENNIAL,SHIP (TT),7.5,0,7.5
TRACTOR TRAILER,GRAVEYARD,CENTENNIAL,YARD (TT),7.5,0,7.5
TRACTOR TRAILER,GRAVEYARD,DELTAPORT,RAIL (TT),7.5,0,7.5
TRACTOR TRAILER,GRAVEYARD,DELTAPORT,SHIP (TT),7.5,0,7.5
TRACTOR TRAILER,GRAVEYARD,VANTERM,RAIL (TT),7.5,0,7.5
TRACTOR TRAILER,NIGHT,CENTENNIAL,,9,0,9
TRACTOR TRAILER,NIGHT,CENTENNIAL,RAIL (HC),9,0,9
TRACTOR TRAILER,NIGHT,CENTENNIAL,RAIL (TT),9,0,9
TRACTOR TRAILER,NIGHT,CENTENNIAL,SHIP (TT),9,0,9
TRACTOR TRAILER,NIGHT,CENTENNIAL,YARD (TT),9,0,9
TRACTOR TRAILER,NIGHT,DELTAPORT,RAIL (TT),8,1,9
TRACTOR TRAILER,NIGHT,DELTAPORT,SHIP (TT),8,1,9
TRACTOR TRAILER,NIGHT,VANTERM,RAIL (TT),8,1,9
TRACTOR TRAILER,NIGHT,VANTERM,SHIP (TT),8,1,9
TRAINER,DAY,CENTENNIAL,SENIOR (TRNR),9,1,10
TRAINER,NIGHT,NEPTUNE,BLANK (TRNR),8,1,9
WHEAT MACHINE,DAY,ALLIANCE GRAIN,,7.5,0.5,8
WHEAT MACHINE,DAY,CARGILL,,7.5,0.5,8
WHEAT MACHINE,DAY,CASCADIA,,7.5,0.5,8
WHEAT MACHINE,DAY,G3,,7.5,0.5,8
WHEAT MACHINE,DAY,RICHARDSON,,7.5,0.5,8
WHEAT MACHINE,DAY,VITERRA PAC,,7.5,0.5,8
WHEAT MACHINE,GRAVEYARD,ALLIANCE GRAIN,,7.5,0.5,8
WHEAT MACHINE,GRAVEYARD,G3,,7.5,0.5,8
WHEAT MACHINE,GRAVEYARD,RICHARDSON,,7.5,0.5,8
WHEAT MACHINE,NIGHT,CARGILL,,7.5,0.5,8
WHEAT MACHINE,NIGHT,CASCADIA,,7.5,0.5,8
WHEAT MACHINE,NIGHT,G3,,7.5,0.5,8
WHEAT MACHINE,NIGHT,RICHARDSON,,7.5,0.5,8
WHEAT MACHINE,NIGHT,VITERRA PAC,,7.5,0.5,8
WHEAT SPECIALTY,DAY,ALLIANCE GRAIN,,7.5,0.5,8
WHEAT SPECIALTY,DAY,CARGILL,,7.5,0.5,8
WHEAT SPECIALTY,DAY,CASCADIA,,7.5,0.5,8
WHEAT SPECIALTY,DAY,G3,,7.5,0.5,8
WHEAT SPECIALTY,DAY,RICHARDSON,,7.5,0.5,8
WHEAT SPECIALTY,DAY,VITERRA PAC,,7.5,0.5,8
WHEAT SPECIALTY,GRAVEYARD,ALLIANCE GRAIN,,7.5,0.5,8
WHEAT SPECIALTY,GRAVEYARD,CARGILL,,7.5,0.5,8
WHEAT SPECIALTY,GRAVEYARD,CASCADIA,,7.5,0.5,8
WHEAT SPECIALTY,GRAVEYARD,G3,,7.5,0.5,8
WHEAT SPECIALTY,GRAVEYARD,RICHARDSON,,7.5,0.5,8
WHEAT SPECIALTY,GRAVEYARD,VITERRA PAC,,7.5,0.5,8
WHEAT SPECIALTY,NIGHT,ALLIANCE GRAIN,,7.5,0.5,8
WHEAT SPECIALTY,NIGHT,CARGILL,,7.5,0.5,8
WHEAT SPECIALTY,NIGHT,CASCADIA,,7.5,0.5,8
WHEAT SPECIALTY,NIGHT,G3,,7.5,0.5,8
WHEAT SPECIALTY,NIGHT,RICHARDSON,,7.5,0.5,8
WHEAT SPECIALTY,NIGHT,VITERRA PAC,,7.5,0.5,8
WINCH DRIVER,DAY,CANADA PLACE,,7,1,8
