JOB,DNG,LOCATION,SUBJOB_COMBINED,REG HR_mean,REG HR_median,sample_size,REG_HR_mode,REG RT_mean,REG RT_median,REG_RT_mode,OT HR_mean,OT HR_median,OT_HR_mode,OT RT_mean,OT RT_median,totalpay_mean,totalpay_median
BUNNY BUS,GRAVEYARD,VANTERM,,8.0,8.0,1,8.0,53.67,53.67,53.67,,,,80.255,80.255,429.36,429.36
BUNNY BUS,NIGHT,CENTENNIAL,,9.0,9.0,7,9.0,75.04428571428572,69.67,69.67,,,,112.56642857142856,104.505,675.3985714285715,627.03
BUNNY BUS,NIGHT,NEPTUNE,,7.5,7.5,1,7.5,89.13,89.13,89.13,0.5,0.5,0.5,133.37,133.37,735.16,735.16
CARPENTER,NIGHT,CARGILL,,10.0,10.0,1,10.0,72.17,72.17,72.17,0.5,0.5,0.5,107.005,107.005,828.3725,828.3725
DOCK CHECKER,DAY,CANADA PLACE,,7.0,7.0,24,7.0,64.55499999999999,55.8,55.8,1.9583333333333333,2.0,2.0,96.5825,83.45,640.6054166666667,557.5
DOCK CHECKER,DAY,LYNNTERM,,4.714285714285714,4.0,7,4.0,58.01142857142857,55.8,55.8,0.6666666666666666,1.0,1.0,86.76714285714286,83.45,295.74571428571426,285.12
DOCK CHECKER,DAY,NEPTUNE,,7.5,7.5,61,7.5,59.707868852459015,55.8,55.8,1.2950819672131149,1.0,1.0,89.3527868852459,83.45,563.2484426229508,501.95
DOCK CHECKER,GRAVEYARD,NEPTUNE,,7.0,7.5,3,7.5,84.98,82.73,82.73,2.0,2.0,2.0,127.13666666666666,124.095,681.4233333333333,620.475
DOCK CHECKER,NIGHT,LYNNTERM,,4.0,4.0,1,4.0,70.17,70.17,70.17,,,,105.005,105.005,280.68,280.68
DOCK CHECKER,NIGHT,NEPTUNE,,7.5,7.5,1,7.5,88.98,88.98,88.98,1.5,1.5,1.5,88.98,88.98,800.82,800.82
DOCK CHECKER,NIGHT,RICHARDSON,,7.5,7.5,1,7.5,70.17,70.17,70.17,0.5,0.5,0.5,105.005,105.005,578.7775,578.7775
DOCK GANTRY,DAY,CENTENNIAL,,4.0,4.0,1,4.0,111.6,111.6,111.6,,,,166.9,166.9,446.4,446.4
DOCK GANTRY,DAY,VANTERM,,4.0,4.0,1,4.0,53.17,53.17,53.17,,,,79.755,79.755,212.68,212.68
DOCK GANTRY,GRAVEYARD,CENTENNIAL,,2.7142857142857144,3.5,7,0.0,88.09142857142857,87.05,87.05,3.75,5.0,5.0,131.63714285714283,130.075,520.2178571428572,650.375
DOCK GANTRY,GRAVEYARD,VANTERM,,1.0714285714285714,0.0,7,0.0,88.09142857142857,87.05,87.05,5.166666666666667,5.0,5.0,131.63714285714283,130.075,677.6457142857143,650.375
DOCK GANTRY,NIGHT,CENTENNIAL,,0.0,0.0,1,0.0,89.48,89.48,89.48,5.0,5.0,5.0,133.72,133.72,668.6,668.6
DOCK GANTRY,NIGHT,VANTERM,,0.0,0.0,1,0.0,15.0,15.0,15.0,5.0,5.0,5.0,111.06,111.06,555.3,555.3
DOW MEN,DAY,UNIVAR,,8.5,8.5,2,8.5,53.17,53.17,53.17,,,,79.755,79.755,451.945,451.945
DOW MEN,GRAVEYARD,CENTENNIAL,,2.5,2.5,1,2.5,88.48,88.48,88.48,,,,132.72,132.72,324.955,324.955
DOW MEN,NIGHT,UNIVAR,,8.666666666666666,8.5,6,8.5,66.98,66.98,66.98,,,,66.98,100.47,580.4933333333333,569.33
ELECTRICIAN,DAY,CENTENNIAL,,8.5,8.5,1,8.5,57.8,57.8,57.8,,,,85.45,85.45,491.3,491.3
ELECTRICIAN,DAY,DELTAPORT,,7.384955752212389,7.5,113,7.5,64.47221238938053,57.8,57.8,1.3027522935779816,1.5,1.5,95.49150442477877,85.45,600.1766371681415,561.675
ELECTRICIAN,DAY,NEPTUNE,,6.625,7.5,4,7.5,71.625,57.8,57.8,1.5,1.5,1.5,106.1875,85.45,613.8499999999999,561.675
ELECTRICIAN,DAY,VANTERM,,5.666666666666667,4.0,3,4.0,57.79999999999999,57.8,57.8,1.0,1.0,1.0,85.45,85.45,384.5,316.65
ELECTRICIAN,GRAVEYARD,DELTAPORT,,6.0,6.0,17,6.0,90.85176470588236,88.55,88.55,1.3666666666666667,1.5,1.5,135.0276470588235,131.575,724.0041176470588,728.6625
ELECTRICIAN,GRAVEYARD,NEPTUNE,,5.666666666666667,6.0,3,3.0,125.42666666666666,88.55,82.73,0.5,0.5,0.5,113.70666666666666,124.095,821.3591666666666,558.4275
ELECTRICIAN,NIGHT,CENTENNIAL,,8.5,8.5,1,8.5,72.17,72.17,72.17,,,,107.005,107.005,613.445,613.445
ELECTRICIAN,NIGHT,DELTAPORT,,7.589285714285714,7.5,28,7.5,76.87250000000002,72.17,72.17,1.3888888888888888,1.0,1.0,114.05875,107.005,758.2965178571429,725.87125
ELECTRICIAN,NIGHT,NEPTUNE,,6.5625,7.5,8,7.5,74.52125000000001,72.17,72.17,2.3125,1.5,1.5,110.531875,107.005,749.2796875,701.7825
ELECTRICIAN,NIGHT,PORT MOODY,,7.5,7.5,1,7.5,72.17,72.17,72.17,0.5,0.5,0.5,107.005,107.005,594.7775,594.7775
EXCAVATOR,NIGHT,NEPTUNE,,7.5,7.5,6,7.5,69.67,69.67,69.67,0.5,0.5,0.5,104.505,104.505,574.7775,574.7775
EXCAVATOR,NIGHT,VAN WHARVES,,7.5,7.5,1,7.5,69.67,69.67,69.67,0.5,0.5,0.5,104.505,104.505,574.7775,574.7775
FIRST AID,DAY,CANADA PLACE,DOCK (FA),8.0,8.0,1,8.0,55.8,55.8,55.8,1.5,1.5,1.5,83.45,83.45,571.575,571.575
FIRST AID,DAY,CANADA PLACE,SHIP (FA),8.0,8.0,1,8.0,55.8,55.8,55.8,1.5,1.5,1.5,83.45,83.45,571.575,571.575
FIRST AID,DAY,CARGILL,STORES (FA),100.0,100.0,1,100.0,56.3,56.3,56.3,20.0,20.0,20.0,83.95,83.95,7309.0,7309.0
FIRST AID,DAY,CASCADIA,SHIP (FA),8.0,8.0,1,8.0,55.8,55.8,55.8,0.5,0.5,0.5,83.45,83.45,488.125,488.125
FIRST AID,DAY,CENTENNIAL,DOCK (FA),7.972727272727273,8.0,55,8.0,65.62927272727273,55.8,53.67,0.9818181818181818,1.0,1.0,98.19390909090909,83.45,620.5630454545454,529.85
FIRST AID,DAY,CENTENNIAL,SHIP (FA),8.0,8.0,3,8.0,60.053333333333335,55.8,55.8,0.6666666666666666,0.5,0.5,89.83,83.45,542.44,488.125
FIRST AID,DAY,DELTAPORT,,9.0,9.0,2,9.0,53.67,53.67,53.67,0.0,0.0,0.0,80.505,80.505,562.785,562.785
FIRST AID,DAY,DELTAPORT,DOCK (FA),7.6923076923076925,8.0,13,8.0,58.143076923076926,55.8,55.8,0.625,0.5,0.5,87.02230769230769,83.45,566.5553846153846,567.88
FIRST AID,DAY,DELTAPORT,SHIP (FA),8.0,8.0,2,8.0,72.39,72.39,55.8,0.75,0.75,0.5,108.33500000000001,108.33500000000001,694.0275,694.0275
FIRST AID,DAY,FRASER SURREY,DOCK (FA),8.818181818181818,9.0,11,9.0,61.58545454545454,55.8,55.8,0.8181818181818182,0.5,0.5,92.19636363636363,83.45,695.4427272727272,626.875
FIRST AID,DAY,FRASER SURREY,SHIP (FA),8.444444444444445,8.0,9,8.0,66.61333333333333,55.8,55.8,0.8,0.5,0.5,99.67,83.45,681.1383333333333,721.275
FIRST AID,DAY,LYNNTERM,DOCK (FA),8.0,8.0,4,8.0,55.8,55.8,55.8,0.875,1.0,1.0,83.45,83.45,519.41875,529.85
FIRST AID,DAY,LYNNTERM,SHIP (FA),8.0,8.0,2,8.0,55.8,55.8,55.8,1.0,1.0,1.0,83.45,83.45,529.85,529.85
FIRST AID,DAY,NEPTUNE,DOCK (FA),7.923076923076923,8.0,13,8.0,56.99076923076923,55.8,55.8,1.5,1.5,1.5,85.23615384615384,83.45,579.488076923077,571.575
FIRST AID,DAY,NEPTUNE,STORES (FA),8.0,8.0,1,8.0,56.3,56.3,56.3,1.5,1.5,1.5,83.95,83.95,576.325,576.325
FIRST AID,DAY,PORT MOODY,DOCK (FA),8.0,8.0,5,8.0,62.436,55.8,55.8,0.7,0.5,0.5,93.404,83.45,567.857,488.125
FIRST AID,DAY,PORT MOODY,STORES (FA),8.0,8.0,5,8.0,56.3,56.3,56.3,1.0,1.0,1.0,83.95,83.95,534.35,534.35
FIRST AID,DAY,VAN WHARVES,DOCK (FA),7.728571428571429,8.0,35,8.0,61.26714285714286,55.8,55.8,1.3428571428571427,1.5,1.5,91.63000000000001,83.45,608.6711428571429,571.575
FIRST AID,DAY,VAN WHARVES,SHIP (FA),8.0,8.0,7,8.0,62.75142857142857,55.8,55.8,0.5,0.5,0.5,93.87714285714286,83.45,548.95,488.125
FIRST AID,DAY,VAN WHARVES,STORES (FA),8.0,8.0,4,8.0,64.095,55.8,55.3,1.5,1.5,1.5,96.2675,83.95,657.16125,572.325
FIRST AID,DAY,VANTERM,DOCK (FA),8.0,8.0,7,8.0,74.44285714285715,71.28,88.98,1.0,1.0,1.0,111.41428571428571,106.67,707.1949999999999,623.575
FIRST AID,DAY,WATERFRONT TRAIN. CNTR,DOCK (FA),8.0,8.0,6,8.0,55.79999999999999,55.8,55.8,0.375,0.25,0.25,83.45,83.45,477.69374999999997,467.2625
FIRST AID,GRAVEYARD,CENTENNIAL,DOCK (FA),6.5,6.5,57,6.5,85.99964912280703,85.57,83.23,1.0,1.0,1.0,128.74947368421053,128.105,687.7471929824562,684.31
FIRST AID,GRAVEYARD,DELTAPORT,DOCK (FA),6.5,6.5,3,6.5,85.11666666666666,85.57,83.23,0.5,0.5,0.5,127.42666666666666,128.105,696.7266666666666,700.0125
FIRST AID,GRAVEYARD,DELTAPORT,SHIP (FA),6.5,6.5,1,6.5,83.23,83.23,83.23,0.5,0.5,0.5,124.595,124.595,683.0475,683.0475
FIRST AID,GRAVEYARD,FRASER SURREY,DOCK (FA),7.166666666666667,7.5,3,7.5,87.36,86.55,86.55,0.8333333333333334,0.5,0.5,130.79,129.575,815.0966666666667,793.6675
FIRST AID,GRAVEYARD,FRASER SURREY,SHIP (FA),7.25,7.5,4,7.5,86.55,86.55,86.55,0.5,0.5,0.5,129.575,129.575,716.793125,728.88
FIRST AID,GRAVEYARD,G3,DOCK (FA),7.5,7.5,1,7.5,88.98,88.98,88.98,0.5,0.5,0.5,133.22,133.22,733.96,733.96
FIRST AID,GRAVEYARD,NEPTUNE,DOCK (FA),6.5,6.5,13,6.5,87.48461538461538,86.55,86.55,0.5769230769230769,0.5,0.5,130.97692307692307,129.575,644.2459615384615,627.3625
