DAYOFWEEK,DNG,SHIFT,eff_start,eff_end,JOBS,LOCATION,SUBJOB,REGHRS,OTHRS,REGRATE,OTRATE,DIFFERENTIAL,DIFFERENTIAL_CLASS,YEAR,SAMPLE_SIZE,CONFIDENCE
6,DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",LABOUR,CANADA PLACE,BLANK,8.0,1.0,64.82,97.23,0.0,BASE,1,1872,HIGH
0,DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",LABOUR,CANADA PLACE,BLANK,8.0,1.0,81.02,121.53,0.0,BASE,1,1872,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",LABOUR,CANADA PLACE,BLANK,8.0,1.0,53.17,79.75,0.0,BASE,2,1872,HIGH
6,DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",LABOUR,CANADA PLACE,BLANK,8.0,1.0,68.06,102.09,0.0,BASE,2,1872,HIGH
0,DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",LABOUR,CANADA PLACE,BLANK,8.0,1.0,85.07,127.6,0.0,BASE,2,1872,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",LABOUR,CANADA PLACE,BLANK,8.0,1.0,55.3,82.95,0.0,BASE,3,1872,HIGH
6,DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",LABOUR,CANADA PLACE,BLANK,8.0,1.0,70.78,106.17,0.0,BASE,3,1872,HIGH
0,DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",LABOUR,CANADA PLACE,BLANK,8.0,1.0,88.48,132.72,0.0,BASE,3,1872,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",LABOUR,CANADA PLACE,BLANK,8.0,1.0,57.51,86.27,0.0,BASE,4,1872,HIGH
6,DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",LABOUR,CANADA PLACE,BLANK,8.0,1.0,73.61,110.41,0.0,BASE,4,1872,HIGH
0,DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",LABOUR,CANADA PLACE,BLANK,8.0,1.0,92.02,138.03,0.0,BASE,4,1872,HIGH
"1 , 2 , 3 , 4 , 5",GRAVEYARD,GRAVEYARD,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRACTOR TRAILER,CENTENNIAL,RAIL (TT),7.5,0.0,79.45,119.18,0.65,CLASS_3,1,1759,HIGH
6,GRAVEYARD,GRAVEYARD,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRACTOR TRAILER,CENTENNIAL,RAIL (TT),7.5,0.0,81.67,122.5,0.65,CLASS_3,1,1759,HIGH
0,GRAVEYARD,GRAVEYARD,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRACTOR TRAILER,CENTENNIAL,RAIL (TT),7.5,0.0,81.67,122.5,0.65,CLASS_3,1,1759,HIGH
"1 , 2 , 3 , 4 , 5",GRAVEYARD,GRAVEYARD,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRACTOR TRAILER,CENTENNIAL,RAIL (TT),7.5,0.0,83.38,125.07,0.65,CLASS_3,2,1759,HIGH
6,GRAVEYARD,GRAVEYARD,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRACTOR TRAILER,CENTENNIAL,RAIL (TT),7.5,0.0,85.72,128.58,0.65,CLASS_3,2,1759,HIGH
0,GRAVEYARD,GRAVEYARD,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRACTOR TRAILER,CENTENNIAL,RAIL (TT),7.5,0.0,85.72,128.58,0.65,CLASS_3,2,1759,HIGH
"1 , 2 , 3 , 4 , 5",GRAVEYARD,GRAVEYARD,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRACTOR TRAILER,CENTENNIAL,RAIL (TT),7.5,0.0,86.7,130.05,0.65,CLASS_3,3,1759,HIGH
6,GRAVEYARD,GRAVEYARD,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRACTOR TRAILER,CENTENNIAL,RAIL (TT),7.5,0.0,89.13,133.69,0.65,CLASS_3,3,1759,HIGH
0,GRAVEYARD,GRAVEYARD,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRACTOR TRAILER,CENTENNIAL,RAIL (TT),7.5,0.0,89.13,133.69,0.65,CLASS_3,3,1759,HIGH
"1 , 2 , 3 , 4 , 5",GRAVEYARD,GRAVEYARD,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRACTOR TRAILER,CENTENNIAL,RAIL (TT),7.5,0.0,90.14,135.21,0.65,CLASS_3,4,1759,HIGH
6,GRAVEYARD,GRAVEYARD,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRACTOR TRAILER,CENTENNIAL,RAIL (TT),7.5,0.0,92.67,139.0,0.65,CLASS_3,4,1759,HIGH
0,GRAVEYARD,GRAVEYARD,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRACTOR TRAILER,CENTENNIAL,RAIL (TT),7.5,0.0,92.67,139.0,0.65,CLASS_3,4,1759,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),9.0,0.0,51.29,76.94,0.65,CLASS_3,1,1576,HIGH
6,DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),9.0,0.0,65.47,98.2,0.65,CLASS_3,1,1576,HIGH
0,DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),9.0,0.0,81.67,122.5,0.65,CLASS_3,1,1576,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),9.0,0.0,53.82,80.73,0.65,CLASS_3,2,1576,HIGH
6,DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),9.0,0.0,68.71,103.06,0.65,CLASS_3,2,1576,HIGH
0,DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),9.0,0.0,85.72,128.58,0.65,CLASS_3,2,1576,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),9.0,0.0,55.95,83.93,0.65,CLASS_3,3,1576,HIGH
6,DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),9.0,0.0,71.43,107.15,0.65,CLASS_3,3,1576,HIGH
0,DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),9.0,0.0,89.13,133.69,0.65,CLASS_3,3,1576,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),9.0,0.0,58.16,87.24,0.65,CLASS_3,4,1576,HIGH
