DAYOFWEEK,DNG,SHIFT,eff_start,eff_end,JOBS,LOCATION,SUBJOB,REGHRS,OTHRS,REGRATE,OTRATE,DIFFERENTIAL,DIFFERENTIAL_CLASS,YEAR,SAMPLE_SIZE,CONFIDENCE
6,DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",HEAD CHECKER,VANTERM,OUTGATE (HC),8.0,2.0,64.82,97.23,0.0,BASE,1,33,HIGH
0,DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",HEAD CHECKER,VANTERM,OUTGATE (HC),8.0,2.0,81.02,121.53,0.0,BASE,1,33,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",HEAD CHECKER,VANTERM,OUTGATE (HC),8.0,2.0,53.17,79.75,0.0,BASE,2,33,HIGH
6,DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",HEAD CHECKER,VANTERM,OUTGATE (HC),8.0,2.0,68.06,102.09,0.0,BASE,2,33,HIGH
0,DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",HEAD CHECKER,VANTERM,OUTGATE (HC),8.0,2.0,85.07,127.6,0.0,BASE,2,33,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",HEAD CHECKER,VANTERM,OUTGATE (HC),8.0,2.0,55.3,82.95,0.0,BASE,3,33,HIGH
6,DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",HEAD CHECKER,VANTERM,OUTGATE (HC),8.0,2.0,70.78,106.17,0.0,BASE,3,33,HIGH
0,DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",HEAD CHECKER,VANTERM,OUTGATE (HC),8.0,2.0,88.48,132.72,0.0,BASE,3,33,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",HEAD CHECKER,VANTERM,OUTGATE (HC),8.0,2.0,57.51,86.27,0.0,BASE,4,33,HIGH
6,DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",HEAD CHECKER,VANTERM,OUTGATE (HC),8.0,2.0,73.61,110.41,0.0,BASE,4,33,HIGH
0,DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",HEAD CHECKER,VANTERM,OUTGATE (HC),8.0,2.0,92.02,138.03,0.0,BASE,4,33,HIGH
"1 , 2 , 3 , 4 , 5",GRAVEYARD,GRAVEYARD,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",LABOUR,VANTERM,HOLD (LAB),6.5,0.5,78.8,118.2,0.0,BASE,1,33,HIGH
6,GRAVEYARD,GRAVEYARD,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",LABOUR,VANTERM,HOLD (LAB),6.5,0.5,81.02,121.53,0.0,BASE,1,33,HIGH
0,GRAVEYARD,GRAVEYARD,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",LABOUR,VANTERM,HOLD (LAB),6.5,0.5,81.02,121.53,0.0,BASE,1,33,HIGH
"1 , 2 , 3 , 4 , 5",GRAVEYARD,GRAVEYARD,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",LABOUR,VANTERM,HOLD (LAB),6.5,0.5,82.73,124.09,0.0,BASE,2,33,HIGH
6,GRAVEYARD,GRAVEYARD,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",LABOUR,VANTERM,HOLD (LAB),6.5,0.5,85.07,127.6,0.0,BASE,2,33,HIGH
0,GRAVEYARD,GRAVEYARD,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",LABOUR,VANTERM,HOLD (LAB),6.5,0.5,85.07,127.6,0.0,BASE,2,33,HIGH
"1 , 2 , 3 , 4 , 5",GRAVEYARD,GRAVEYARD,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",LABOUR,VANTERM,HOLD (LAB),6.5,0.5,86.05,129.07,0.0,BASE,3,33,HIGH
6,GRAVEYARD,GRAVEYARD,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",LABOUR,VANTERM,HOLD (LAB),6.5,0.5,88.48,132.72,0.0,BASE,3,33,HIGH
0,GRAVEYARD,GRAVEYARD,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",LABOUR,VANTERM,HOLD (LAB),6.5,0.5,88.48,132.72,0.0,BASE,3,33,HIGH
"1 , 2 , 3 , 4 , 5",GRAVEYARD,GRAVEYARD,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",LABOUR,VANTERM,HOLD (LAB),6.5,0.5,89.49,134.23,0.0,BASE,4,33,HIGH
6,GRAVEYARD,GRAVEYARD,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",LABOUR,VANTERM,HOLD (LAB),6.5,0.5,92.02,138.03,0.0,BASE,4,33,HIGH
0,GRAVEYARD,GRAVEYARD,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",LABOUR,VANTERM,HOLD (LAB),6.5,0.5,92.02,138.03,0.0,BASE,4,33,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",HATCH TENDER/SIGNALS,CENTENNIAL,,8.0,0.5,50.64,75.96,0.0,BASE,1,33,HIGH
6,DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",HATCH TENDER/SIGNALS,CENTENNIAL,,8.0,0.5,64.82,97.23,0.0,BASE,1,33,HIGH
0,DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",HATCH TENDER/SIGNALS,CENTENNIAL,,8.0,0.5,81.02,121.53,0.0,BASE,1,33,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",HATCH TENDER/SIGNALS,CENTENNIAL,,8.0,0.5,53.17,79.75,0.0,BASE,2,33,HIGH
6,DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",HATCH TENDER/SIGNALS,CENTENNIAL,,8.0,0.5,68.06,102.09,0.0,BASE,2,33,HIGH
0,DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",HATCH TENDER/SIGNALS,CENTENNIAL,,8.0,0.5,85.07,127.6,0.0,BASE,2,33,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",HATCH TENDER/SIGNALS,CENTENNIAL,,8.0,0.5,55.3,82.95,0.0,BASE,3,33,HIGH
6,DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",HATCH TENDER/SIGNALS,CENTENNIAL,,8.0,0.5,70.78,106.17,0.0,BASE,3,33,HIGH
0,DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",HATCH TENDER/SIGNALS,CENTENNIAL,,8.0,0.5,88.48,132.72,0.0,BASE,3,33,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",HATCH TENDER/SIGNALS,CENTENNIAL,,8.0,0.5,57.51,86.27,0.0,BASE,4,33,HIGH
6,DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",HATCH TENDER/SIGNALS,CENTENNIAL,,8.0,0.5,73.61,110.41,0.0,BASE,4,33,HIGH
0,DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",HATCH TENDER/SIGNALS,CENTENNIAL,,8.0,0.5,92.02,138.03,0.0,BASE,4,33,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRAINING,SQUAMISH,,8.0,0.0,50.64,75.96,0.0,BASE,1,32,HIGH
6,DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRAINING,SQUAMISH,,8.0,0.0,64.82,97.23,0.0,BASE,1,32,HIGH
0,DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRAINING,SQUAMISH,,8.0,0.0,81.02,121.53,0.0,BASE,1,32,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRAINING,SQUAMISH,,8.0,0.0,53.17,79.75,0.0,BASE,2,32,HIGH
6,DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRAINING,SQUAMISH,,8.0,0.0,68.06,102.09,0.0,BASE,2,32,HIGH
0,DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRAINING,SQUAMISH,,8.0,0.0,85.07,127.6,0.0,BASE,2,32,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRAINING,SQUAMISH,,8.0,0.0,55.3,82.95,0.0,BASE,3,32,HIGH
6,DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRAINING,SQUAMISH,,8.0,0.0,70.78,106.17,0.0,BASE,3,32,HIGH
0,DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRAINING,SQUAMISH,,8.0,0.0,88.48,132.72,0.0,BASE,3,32,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRAINING,SQUAMISH,,8.0,0.0,57.51,86.27,0.0,BASE,4,32,HIGH
6,DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRAINING,SQUAMISH,,8.0,0.0,73.61,110.41,0.0,BASE,4,32,HIGH
0,DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRAINING,SQUAMISH,,8.0,0.0,92.02,138.03,0.0,BASE,4,32,HIGH
"1 , 2 , 3 , 4 , 5",NIGHT,NIGHT,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",LABOUR,SQUAMISH,SPARE (LAB),8.0,0.25,63.8,95.7,0.0,BASE,1,32,HIGH
6,NIGHT,NIGHT,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",LABOUR,SQUAMISH,SPARE (LAB),8.0,0.25,81.02,121.53,0.0,BASE,1,32,HIGH
0,NIGHT,NIGHT,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",LABOUR,SQUAMISH,SPARE (LAB),8.0,0.25,81.02,121.53,0.0,BASE,1,32,HIGH
"1 , 2 , 3 , 4 , 5",NIGHT,NIGHT,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",LABOUR,SQUAMISH,SPARE (LAB),8.0,0.25,66.98,100.47,0.0,BASE,2,32,HIGH
6,NIGHT,NIGHT,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",LABOUR,SQUAMISH,SPARE (LAB),8.0,0.25,85.07,127.6,0.0,BASE,2,32,HIGH
0,NIGHT,NIGHT,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",LABOUR,SQUAMISH,SPARE (LAB),8.0,0.25,85.07,127.6,0.0,BASE,2,32,HIGH
"1 , 2 , 3 , 4 , 5",NIGHT,NIGHT,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",LABOUR,SQUAMISH,SPARE (LAB),8.0,0.25,69.67,104.5,0.0,BASE,3,32,HIGH
6,NIGHT,NIGHT,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",LABOUR,SQUAMISH,SPARE (LAB),8.0,0.25,88.48,132.72,0.0,BASE,3,32,HIGH
0,NIGHT,NIGHT,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",LABOUR,SQUAMISH,SPARE (LAB),8.0,0.25,88.48,132.72,0.0,BASE,3,32,HIGH
"1 , 2 , 3 , 4 , 5",NIGHT,NIGHT,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",LABOUR,SQUAMISH,SPARE (LAB),8.0,0.25,72.45,108.68,0.0,BASE,4,32,HIGH
6,NIGHT,NIGHT,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",LABOUR,SQUAMISH,SPARE (LAB),8.0,0.25,92.02,138.03,0.0,BASE,4,32,HIGH
0,NIGHT,NIGHT,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",LABOUR,SQUAMISH,SPARE (LAB),8.0,0.25,92.02,138.03,0.0,BASE,4,32,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",LOCKERMAN,VITERRA PAC,,8.0,1.0,50.64,75.96,0.0,BASE,1,32,HIGH
6,DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",LOCKERMAN,VITERRA PAC,,8.0,1.0,64.82,97.23,0.0,BASE,1,32,HIGH
0,DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",LOCKERMAN,VITERRA PAC,,8.0,1.0,81.02,121.53,0.0,BASE,1,32,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",LOCKERMAN,VITERRA PAC,,8.0,1.0,53.17,79.75,0.0,BASE,2,32,HIGH
6,DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",LOCKERMAN,VITERRA PAC,,8.0,1.0,68.06,102.09,0.0,BASE,2,32,HIGH
0,DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",LOCKERMAN,VITERRA PAC,,8.0,1.0,85.07,127.6,0.0,BASE,2,32,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",LOCKERMAN,VITERRA PAC,,8.0,1.0,55.3,82.95,0.0,BASE,3,32,HIGH
6,DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",LOCKERMAN,VITERRA PAC,,8.0,1.0,70.78,106.17,0.0,BASE,3,32,HIGH
0,DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",LOCKERMAN,VITERRA PAC,,8.0,1.0,88.48,132.72,0.0,BASE,3,32,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",LOCKERMAN,VITERRA PAC,,8.0,1.0,57.51,86.27,0.0,BASE,4,32,HIGH
6,DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",LOCKERMAN,VITERRA PAC,,8.0,1.0,73.61,110.41,0.0,BASE,4,32,HIGH
0,DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",LOCKERMAN,VITERRA PAC,,8.0,1.0,92.02,138.03,0.0,BASE,4,32,HIGH
"1 , 2 , 3 , 4 , 5",NIGHT,NIGHT,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRACTOR TRAILER,DELTAPORT,RAIL (TT),8.0,1.0,64.45,96.68,0.65,CLASS_3,1,32,HIGH
6,NIGHT,NIGHT,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRACTOR TRAILER,DELTAPORT,RAIL (TT),8.0,1.0,81.67,122.5,0.65,CLASS_3,1,32,HIGH
0,NIGHT,NIGHT,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRACTOR TRAILER,DELTAPORT,RAIL (TT),8.0,1.0,81.67,122.5,0.65,CLASS_3,1,32,HIGH
"1 , 2 , 3 , 4 , 5",NIGHT,NIGHT,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRACTOR TRAILER,DELTAPORT,RAIL (TT),8.0,1.0,67.63,101.44,0.65,CLASS_3,2,32,HIGH
6,NIGHT,NIGHT,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRACTOR TRAILER,DELTAPORT,RAIL (TT),8.0,1.0,85.72,128.58,0.65,CLASS_3,2,32,HIGH
0,NIGHT,NIGHT,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRACTOR TRAILER,DELTAPORT,RAIL (TT),8.0,1.0,85.72,128.58,0.65,CLASS_3,2,32,HIGH
"1 , 2 , 3 , 4 , 5",NIGHT,NIGHT,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRACTOR TRAILER,DELTAPORT,RAIL (TT),8.0,1.0,70.32,105.48,0.65,CLASS_3,3,32,HIGH
6,NIGHT,NIGHT,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRACTOR TRAILER,DELTAPORT,RAIL (TT),8.0,1.0,89.13,133.69,0.65,CLASS_3,3,32,HIGH
0,NIGHT,NIGHT,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRACTOR TRAILER,DELTAPORT,RAIL (TT),8.0,1.0,89.13,133.69,0.65,CLASS_3,3,32,HIGH
"1 , 2 , 3 , 4 , 5",NIGHT,NIGHT,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRACTOR TRAILER,DELTAPORT,RAIL (TT),8.0,1.0,73.1,109.65,0.65,CLASS_3,4,32,HIGH
6,NIGHT,NIGHT,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRACTOR TRAILER,DELTAPORT,RAIL (TT),8.0,1.0,92.67,139.0,0.65,CLASS_3,4,32,HIGH
0,NIGHT,NIGHT,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRACTOR TRAILER,DELTAPORT,RAIL (TT),8.0,1.0,92.67,139.0,0.65,CLASS_3,4,32,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",HEAD CHECKER,VANTERM,PENTHOUSE (HC),8.0,2.0,50.64,75.96,0.0,BASE,1,32,HIGH
6,DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",HEAD CHECKER,VANTERM,PENTHOUSE (HC),8.0,2.0,64.82,97.23,0.0,BASE,1,32,HIGH
0,DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",HEAD CHECKER,VANTERM,PENTHOUSE (HC),8.0,2.0,81.02,121.53,0.0,BASE,1,32,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",HEAD CHECKER,VANTERM,PENTHOUSE (HC),8.0,2.0,53.17,79.75,0.0,BASE,2,32,HIGH
6,DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",HEAD CHECKER,VANTERM,PENTHOUSE (HC),8.0,2.0,68.06,102.09,0.0,BASE,2,32,HIGH
0,DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",HEAD CHECKER,VANTERM,PENTHOUSE (HC),8.0,2.0,85.07,127.6,0.0,BASE,2,32,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",HEAD CHECKER,VANTERM,PENTHOUSE (HC),8.0,2.0,55.3,82.95,0.0,BASE,3,32,HIGH
6,DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",HEAD CHECKER,VANTERM,PENTHOUSE (HC),8.0,2.0,70.78,106.17,0.0,BASE,3,32,HIGH
0,DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",HEAD CHECKER,VANTERM,PENTHOUSE (HC),8.0,2.0,88.48,132.72,0.0,BASE,3,32,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",HEAD CHECKER,VANTERM,PENTHOUSE (HC),8.0,2.0,57.51,86.27,0.0,BASE,4,32,HIGH
6,DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",HEAD CHECKER,VANTERM,PENTHOUSE (HC),8.0,2.0,73.61,110.41,0.0,BASE,4,32,HIGH
0,DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",HEAD CHECKER,VANTERM,PENTHOUSE (HC),8.0,2.0,92.02,138.03,0.0,BASE,4,32,HIGH
"1 , 2 , 3 , 4 , 5",NIGHT,NIGHT,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRAINING,VAN WHARVES,,8.0,0.0,63.8,95.7,0.0,BASE,1,31,HIGH
6,NIGHT,NIGHT,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRAINING,VAN WHARVES,,8.0,0.0,81.02,121.53,0.0,BASE,1,31,HIGH
0,NIGHT,NIGHT,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRAINING,VAN WHARVES,,8.0,0.0,81.02,121.53,0.0,BASE,1,31,HIGH
"1 , 2 , 3 , 4 , 5",NIGHT,NIGHT,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRAINING,VAN WHARVES,,8.0,0.0,66.98,100.47,0.0,BASE,2,31,HIGH
6,NIGHT,NIGHT,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRAINING,VAN WHARVES,,8.0,0.0,85.07,127.6,0.0,BASE,2,31,HIGH
0,NIGHT,NIGHT,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRAINING,VAN WHARVES,,8.0,0.0,85.07,127.6,0.0,BASE,2,31,HIGH
"1 , 2 , 3 , 4 , 5",NIGHT,NIGHT,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRAINING,VAN WHARVES,,8.0,0.0,69.67,104.5,0.0,BASE,3,31,HIGH
6,NIGHT,NIGHT,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRAINING,VAN WHARVES,,8.0,0.0,88.48,132.72,0.0,BASE,3,31,HIGH
0,NIGHT,NIGHT,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRAINING,VAN WHARVES,,8.0,0.0,88.48,132.72,0.0,BASE,3,31,HIGH
"1 , 2 , 3 , 4 , 5",NIGHT,NIGHT,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRAINING,VAN WHARVES,,8.0,0.0,72.45,108.68,0.0,BASE,4,31,HIGH
6,NIGHT,NIGHT,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRAINING,VAN WHARVES,,8.0,0.0,92.02,138.03,0.0,BASE,4,31,HIGH
0,NIGHT,NIGHT,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRAINING,VAN WHARVES,,8.0,0.0,92.02,138.03,0.0,BASE,4,31,HIGH
"1 , 2 , 3 , 4 , 5",NIGHT,NIGHT,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",HEAD CHECKER,VANTERM,CANOPY (HC),8.0,1.5,63.8,95.7,0.0,BASE,1,31,HIGH
6,NIGHT,NIGHT,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",HEAD CHECKER,VANTERM,CANOPY (HC),8.0,1.5,81.02,121.53,0.0,BASE,1,31,HIGH
0,NIGHT,NIGHT,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",HEAD CHECKER,VANTERM,CANOPY (HC),8.0,1.5,81.02,121.53,0.0,BASE,1,31,HIGH
"1 , 2 , 3 , 4 , 5",NIGHT,NIGHT,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",HEAD CHECKER,VANTERM,CANOPY (HC),8.0,1.5,66.98,100.47,0.0,BASE,2,31,HIGH
6,NIGHT,NIGHT,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",HEAD CHECKER,VANTERM,CANOPY (HC),8.0,1.5,85.07,127.6,0.0,BASE,2,31,HIGH
0,NIGHT,NIGHT,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",HEAD CHECKER,VANTERM,CANOPY (HC),8.0,1.5,85.07,127.6,0.0,BASE,2,31,HIGH
"1 , 2 , 3 , 4 , 5",NIGHT,NIGHT,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",HEAD CHECKER,VANTERM,CANOPY (HC),8.0,1.5,69.67,104.5,0.0,BASE,3,31,HIGH
6,NIGHT,NIGHT,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",HEAD CHECKER,VANTERM,CANOPY (HC),8.0,1.5,88.48,132.72,0.0,BASE,3,31,HIGH
0,NIGHT,NIGHT,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",HEAD CHECKER,VANTERM,CANOPY (HC),8.0,1.5,88.48,132.72,0.0,BASE,3,31,HIGH
"1 , 2 , 3 , 4 , 5",NIGHT,NIGHT,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",HEAD CHECKER,VANTERM,CANOPY (HC),8.0,1.5,72.45,108.68,0.0,BASE,4,31,HIGH
6,NIGHT,NIGHT,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",HEAD CHECKER,VANTERM,CANOPY (HC),8.0,1.5,92.02,138.03,0.0,BASE,4,31,HIGH
0,NIGHT,NIGHT,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",HEAD CHECKER,VANTERM,CANOPY (HC),8.0,1.5,92.02,138.03,0.0,BASE,4,31,HIGH
"1 , 2 , 3 , 4 , 5",GRAVEYARD,GRAVEYARD,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",REACHSTACKER,CENTENNIAL,,7.5,0.0,79.45,119.18,0.65,CLASS_3,1,29,HIGH
6,GRAVEYARD,GRAVEYARD,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",REACHSTACKER,CENTENNIAL,,7.5,0.0,81.67,122.5,0.65,CLASS_3,1,29,HIGH
0,GRAVEYARD,GRAVEYARD,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",REACHSTACKER,CENTENNIAL,,7.5,0.0,81.67,122.5,0.65,CLASS_3,1,29,HIGH
"1 , 2 , 3 , 4 , 5",GRAVEYARD,GRAVEYARD,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",REACHSTACKER,CENTENNIAL,,7.5,0.0,83.38,125.07,0.65,CLASS_3,2,29,HIGH
6,GRAVEYARD,GRAVEYARD,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",REACHSTACKER,CENTENNIAL,,7.5,0.0,85.72,128.58,0.65,CLASS_3,2,29,HIGH
0,GRAVEYARD,GRAVEYARD,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",REACHSTACKER,CENTENNIAL,,7.5,0.0,85.72,128.58,0.65,CLASS_3,2,29,HIGH
"1 , 2 , 3 , 4 , 5",GRAVEYARD,GRAVEYARD,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",REACHSTACKER,CENTENNIAL,,7.5,0.0,86.7,130.05,0.65,CLASS_3,3,29,HIGH
6,GRAVEYARD,GRAVEYARD,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",REACHSTACKER,CENTENNIAL,,7.5,0.0,89.13,133.69,0.65,CLASS_3,3,29,HIGH
0,GRAVEYARD,GRAVEYARD,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",REACHSTACKER,CENTENNIAL,,7.5,0.0,89.13,133.69,0.65,CLASS_3,3,29,HIGH
