JOB,SHIFT,LOCATION,SUBJOB,REGHRS,OTHRS,REG_RATE,SAMPLE_SIZE,CONFIDENCE
TRACTOR TRAILER,NIGHT,CENTENNIAL,YARD (TT),9.0,0.0,70.32,6,HIGH
TRACTOR TRAILER,NIGHT,DELTAPORT,RAIL (TT),8.0,1.0,70.32,32,HIGH
TRACTOR TRAILER,NIGHT,DELTAPORT,SHIP (TT),8.0,1.0,85.07,38,HIGH
TRACTOR TRAILER,NIGHT,VANTERM,RAIL (TT),8.0,1.0,70.32,18,HIGH
TRACTOR TRAILER,NIGHT,VANTERM,SHIP (TT),8.0,1.0,70.32,39,HIGH
TRAINER,DAY,CENTENNIAL,SENIOR (TRNR),9.0,1.0,73.73,5,HIGH
TRAINER,NIGHT,NEPTUNE,BLANK (TRNR),8.0,1.0,95.226671428,6,HIGH
TRAINING,DAY,LYNNTERM,,11.0,0.0,55.3,3,HIGH
TRAINING,DAY,WATERFRONT TRAIN. CNTR,,1.0,,55.3,8,HIGH
WHEAT MACHINE,DAY,ALLIANCE GRAIN,,7.5,0.5,55.8,9,HIGH
WHEAT MACHINE,DAY,CARGILL,,7.5,0.5,55.8,6,HIGH
WHEAT MACHINE,DAY,CASCADIA,,7.5,0.5,55.8,15,HIGH
WHEAT MACHINE,DAY,G3,,7.5,0.5,54.32,11,HIGH
WHEAT MACHINE,DAY,RICHARDSON,,7.5,0.5,55.8,33,HIGH
WHEAT MACHINE,DAY,VITERRA PAC,,7.5,0.5,55.8,10,HIGH
WHEAT MACHINE,GRAVEYARD,ALLIANCE GRAIN,,7.5,0.5,83.88,4,HIGH
WHEAT MACHINE,GRAVEYARD,G3,,7.5,0.5,86.55,3,HIGH
WHEAT MACHINE,GRAVEYARD,RICHARDSON,,7.5,0.5,86.55,8,HIGH
WHEAT MACHINE,NIGHT,CARGILL,,7.5,0.5,70.17,5,HIGH
WHEAT MACHINE,NIGHT,CASCADIA,,7.5,0.5,68.13,7,HIGH
WHEAT MACHINE,NIGHT,G3,,7.5,0.5,70.17,10,HIGH
WHEAT MACHINE,NIGHT,RICHARDSON,,7.5,0.5,70.17,9,HIGH
WHEAT MACHINE,NIGHT,VITERRA PAC,,7.5,0.5,70.17,5,HIGH
WHEAT SPECIALTY,DAY,ALLIANCE GRAIN,,7.5,0.5,56.45,105,HIGH
WHEAT SPECIALTY,DAY,CARGILL,,7.5,0.5,56.45,123,HIGH
WHEAT SPECIALTY,DAY,CASCADIA,,7.5,0.5,56.45,128,HIGH
WHEAT SPECIALTY,DAY,G3,,7.5,0.5,56.45,143,HIGH
WHEAT SPECIALTY,DAY,RICHARDSON,,7.5,0.5,56.45,171,HIGH
WHEAT SPECIALTY,DAY,VITERRA PAC,,7.5,0.5,56.45,82,HIGH
WHEAT SPECIALTY,GRAVEYARD,ALLIANCE GRAIN,,7.5,0.5,87.2,60,HIGH
WHEAT SPECIALTY,GRAVEYARD,CARGILL,,7.5,0.5,83.88,11,HIGH
WHEAT SPECIALTY,GRAVEYARD,CASCADIA,,7.5,0.5,87.2,56,HIGH
WHEAT SPECIALTY,GRAVEYARD,G3,,7.5,0.5,87.2,48,HIGH
WHEAT SPECIALTY,GRAVEYARD,RICHARDSON,,7.5,0.5,87.2,53,HIGH
WHEAT SPECIALTY,GRAVEYARD,VITERRA PAC,,7.5,0.5,87.2,25,HIGH
WHEAT SPECIALTY,NIGHT,ALLIANCE GRAIN,,7.5,0.5,70.82,45,HIGH
WHEAT SPECIALTY,NIGHT,CARGILL,,7.5,0.5,70.82,56,HIGH
WHEAT SPECIALTY,NIGHT,CASCADIA,,7.5,0.5,70.82,37,HIGH
WHEAT SPECIALTY,NIGHT,G3,,7.5,0.5,70.82,85,HIGH
WHEAT SPECIALTY,NIGHT,RICHARDSON,,7.5,0.5,70.82,100,HIGH
WHEAT SPECIALTY,NIGHT,VITERRA PAC,,7.5,0.5,70.82,38,HIGH
WINCH DRIVER,DAY,CANADA PLACE,,7.0,1.0,71.78,4,HIGH
