JOB,SHIFT,LOCATION,SUBJOB,REGHRS,OTHRS,REG_RATE,SAMPLE_SIZE,CONFIDENCE
FRONT END LOADER,DAY,VAN WHARVES,,7.5,1.5,55.3,28,HIGH
FRONT END LOADER,GRAVEYARD,NEPTUNE,,6.0,0.5,86.05,16,HIGH
FRONT END LOADER,GRAVEYARD,VAN WHARVES,,6.0,1.5,86.05,5,HIGH
FRONT END LOADER,NIGHT,NEPTUNE,,7.5,0.5,69.67,7,HIGH
FRONT END LOADER,NIGHT,VAN WHARVES,,7.5,0.5,69.67,11,HIGH
HD MECHANIC,DAY,DELTAPORT,,7.5,0.5,55.67,12,HIGH
HD MECHANIC,DAY,FRASER SURREY,,9.0,0.0,87.57,8,HIGH
HD MECHANIC,DAY,LYNNTERM,,4.0,1.0,57.8,8,HIGH
HD MECHANIC,DAY,VANTERM,,4.0,1.0,57.8,8,HIGH
HD MECHANIC,GRAVEYARD,DELTAPORT,,6.0,0.5,88.55,5,HIGH
HD MECHANIC,GRAVEYARD,FRASER SURREY,,8.0,0.0,85.23,7,HIGH
HD MECHANIC,GRAVEYARD,VANTERM,,7.0,0.0,88.55,3,HIGH
HD MECHANIC,NIGHT,DELTAPORT,,7.5,0.5,69.48,9,HIGH
HD MECHANIC,NIGHT,FRASER SURREY,,9.0,0.0,69.48,22,HIGH
HD MECHANIC,NIGHT,VANTERM,,6.5,,88.55,3,HIGH
HEAD CHECKER,DAY,CENTENNIAL,CANOPY (HC),8.0,2.0,55.95,24,HIGH
HEAD CHECKER,DAY,CENTENNIAL,EQUIP. CONTROL (HC),8.0,2.0,55.95,179,HIGH
HEAD CHECKER,DAY,CENTENNIAL,GOPHER (HC),8.0,1.0,55.95,22,HIGH
HEAD CHECKER,DAY,CENTENNIAL,INGATE (HC),8.0,1.0,55.95,34,HIGH
HEAD CHECKER,DAY,CENTENNIAL,PENTHOUSE (HC),8.0,2.0,53.82,28,HIGH
HEAD CHECKER,DAY,CENTENNIAL,RAIL (HC),9.0,1.0,55.95,281,HIGH
HEAD CHECKER,DAY,CENTENNIAL,RAIL PLANNER (HC),8.0,2.0,55.95,41,HIGH
HEAD CHECKER,DAY,CENTENNIAL,RAIL PLNR -GOPHER  (HC),9.0,1.0,55.95,14,HIGH
HEAD CHECKER,DAY,CENTENNIAL,REEFER (HC),8.0,1.0,55.95,40,HIGH
HEAD CHECKER,DAY,CENTENNIAL,TOWER (HC),9.0,1.0,55.95,237,HIGH
HEAD CHECKER,DAY,CENTENNIAL,YARD PLANNER (HC),8.0,2.0,55.95,151,HIGH
HEAD CHECKER,DAY,LYNNTERM,CANOPY (HC),8.0,1.5,55.95,7,HIGH
HEAD CHECKER,DAY,VANTERM,CANOPY (HC),8.0,2.0,55.95,60,HIGH
HEAD CHECKER,DAY,VANTERM,GOPHER (HC),8.0,2.0,55.95,19,HIGH
HEAD CHECKER,DAY,VANTERM,INGATE (HC),8.0,2.0,55.95,92,HIGH
HEAD CHECKER,DAY,VANTERM,OUTGATE (HC),8.0,2.0,55.95,33,HIGH
HEAD CHECKER,DAY,VANTERM,PENTHOUSE (HC),8.0,2.0,53.17,30,HIGH
HEAD CHECKER,DAY,VANTERM,RAIL (HC),8.0,2.0,54.17,36,HIGH
HEAD CHECKER,DAY,VANTERM,TOWER (HC),8.0,1.0,55.95,170,HIGH
HEAD CHECKER,GRAVEYARD,CENTENNIAL,CANOPY (HC),7.5,1.0,89.13,4,HIGH
HEAD CHECKER,GRAVEYARD,CENTENNIAL,EQUIP. CONTROL (HC),6.5,1.0,89.13,4,HIGH
HEAD CHECKER,GRAVEYARD,CENTENNIAL,GOPHER (HC),6.5,1.0,89.13,3,HIGH
HEAD CHECKER,GRAVEYARD,CENTENNIAL,INGATE (HC),7.5,0.5,86.7,7,HIGH
HEAD CHECKER,GRAVEYARD,CENTENNIAL,RAIL (HC),7.5,1.0,86.7,109,HIGH
HEAD CHECKER,GRAVEYARD,CENTENNIAL,RAIL PLANNER (HC),6.5,2.0,89.13,25,HIGH
HEAD CHECKER,GRAVEYARD,CENTENNIAL,RAIL PLNR -GOPHER  (HC),7.5,1.0,86.7,14,HIGH
HEAD CHECKER,GRAVEYARD,CENTENNIAL,TOWER (HC),7.5,0.0,86.7,273,HIGH
HEAD CHECKER,GRAVEYARD,VANTERM,CANOPY (HC),6.5,0.5,89.13,8,HIGH
HEAD CHECKER,GRAVEYARD,VANTERM,INGATE (HC),6.5,1.5,86.7,4,HIGH
HEAD CHECKER,GRAVEYARD,VANTERM,RAIL (HC),6.5,1.0,86.7,56,HIGH
HEAD CHECKER,GRAVEYARD,VANTERM,TOWER (HC),6.5,0.5,86.7,180,HIGH
HEAD CHECKER,NIGHT,CENTENNIAL,CANOPY (HC),8.0,1.0,70.32,51,HIGH
HEAD CHECKER,NIGHT,CENTENNIAL,EQUIP. CONTROL (HC),8.0,1.0,70.32,41,HIGH
HEAD CHECKER,NIGHT,CENTENNIAL,GOPHER (HC),8.0,1.0,70.32,47,HIGH
HEAD CHECKER,NIGHT,CENTENNIAL,INGATE (HC),8.0,1.0,70.32,16,HIGH
HEAD CHECKER,NIGHT,CENTENNIAL,PENTHOUSE (HC),8.0,2.0,66.98,7,HIGH
HEAD CHECKER,NIGHT,CENTENNIAL,RAIL (HC),9.0,1.0,70.32,144,HIGH
HEAD CHECKER,NIGHT,CENTENNIAL,RAIL PLANNER (HC),8.0,2.0,70.32,25,HIGH
HEAD CHECKER,NIGHT,CENTENNIAL,RAIL PLNR -GOPHER  (HC),9.0,1.0,70.32,3,HIGH
HEAD CHECKER,NIGHT,CENTENNIAL,TOWER (HC),9.0,1.0,70.32,267,HIGH
HEAD CHECKER,NIGHT,CENTENNIAL,YARD PLANNER (HC),8.0,2.0,70.32,52,HIGH
HEAD CHECKER,NIGHT,VANTERM,CANOPY (HC),8.0,1.5,70.32,29,HIGH
HEAD CHECKER,NIGHT,VANTERM,INGATE (HC),8.0,1.5,70.32,26,HIGH
HEAD CHECKER,NIGHT,VANTERM,OUTGATE (HC),8.0,1.5,70.32,21,HIGH
HEAD CHECKER,NIGHT,VANTERM,PENTHOUSE (HC),8.0,1.5,70.32,7,HIGH
HEAD CHECKER,NIGHT,VANTERM,RAIL (HC),8.0,1.0,70.32,20,HIGH
HEAD CHECKER,NIGHT,VANTERM,TOWER (HC),8.0,0.5,70.32,160,HIGH
KOMATSU,DAY,NEPTUNE,,7.0,1.0,55.3,6,HIGH
LABOUR,DAY,BC SUGAR,BLANK,0.0,,55.3,3,HIGH
LABOUR,DAY,CANADA PLACE,,7.0,2.0,53.17,4,HIGH
LABOUR,DAY,CANADA PLACE,BLANK,7.0,2.0,55.3,782,HIGH
LABOUR,DAY,CANADA PLACE,COASTWISE (LAB),7.0,2.0,55.3,488,HIGH
LABOUR,DAY,CANADA PLACE,HOLD (LAB),7.0,1.0,55.3,9,HIGH
LABOUR,DAY,CANADA PLACE,SPARE (LAB),7.0,1.0,88.48,4,HIGH
LABOUR,DAY,CENTENNIAL,,9.0,0.0,53.17,40,HIGH
LABOUR,DAY,CENTENNIAL,BLANK,9.0,1.0,55.3,267,HIGH
LABOUR,DAY,CENTENNIAL,HOLD (LAB),4.0,1.0,55.3,5,HIGH
LABOUR,DAY,CENTENNIAL,JANITOR (LAB),8.0,1.0,55.3,149,HIGH
LABOUR,DAY,CENTENNIAL,LASHING (LAB),4.0,1.0,55.3,22,HIGH
LABOUR,DAY,CENTENNIAL,SHEDMEN (LAB),9.0,1.0,55.3,409,HIGH
LABOUR,DAY,CENTENNIAL,SPARE (LAB),8.0,1.0,55.3,7,HIGH
LABOUR,DAY,CENTENNIAL,UTILITY (LAB),8.0,1.0,55.3,93,HIGH
LABOUR,DAY,DELTAPORT,LASHING (LAB),4.0,,110.6,3,HIGH
LABOUR,DAY,FIBRECO,BLANK,8.0,0.5,55.3,8,HIGH
LABOUR,DAY,LYNNTERM,,4.0,0.5,53.17,4,HIGH
LABOUR,DAY,LYNNTERM,BLANK,8.0,1.0,55.3,83,HIGH
LABOUR,DAY,LYNNTERM,SLINGMAN (LAB),4.0,1.0,55.3,7,HIGH
LABOUR,DAY,LYNNTERM,SPARE (LAB),4.0,1.0,55.3,9,HIGH
LABOUR,DAY,NEPTUNE,,7.5,1.0,53.17,41,HIGH
LABOUR,DAY,NEPTUNE,BLANK,8.0,1.0,55.3,234,HIGH
LABOUR,DAY,NEPTUNE,JANITOR (LAB),8.0,1.0,55.3,8,HIGH
LABOUR,DAY,NEPTUNE,SHEDMEN (LAB),7.5,0.5,55.3,7,HIGH
LABOUR,DAY,NEPTUNE,SPARE (LAB),8.0,1.0,55.3,21,HIGH
LABOUR,DAY,NEPTUNE,UTILITY (LAB),8.0,1.0,55.3,13,HIGH
LABOUR,DAY,PORT MOODY,BLANK,8.0,1.0,55.3,16,HIGH
LABOUR,DAY,SQUAMISH,BLANK,8.0,0.5,55.3,12,HIGH
LABOUR,DAY,SQUAMISH,HOLD (LAB),11.0,4.0,55.3,3,HIGH
LABOUR,DAY,SQUAMISH,SPARE (LAB),8.0,0.5,55.3,4,HIGH
LABOUR,DAY,VAN WHARVES,BLANK,8.0,1.0,55.3,243,HIGH
LABOUR,DAY,VAN WHARVES,HOLD (LAB),8.0,1.0,55.3,4,HIGH
LABOUR,DAY,VAN WHARVES,SPARE (LAB),8.0,0.5,55.3,27,HIGH
LABOUR,DAY,VAN WHARVES,UTILITY (LAB),8.0,1.0,55.3,252,HIGH
LABOUR,DAY,VANTERM,,9.0,0.0,85.07,4,HIGH
LABOUR,DAY,VANTERM,BLANK,8.0,1.0,55.3,35,HIGH
LABOUR,DAY,VANTERM,HOLD (LAB),8.0,0.5,88.48,3,HIGH
LABOUR,DAY,VANTERM,LASHING (LAB),8.0,1.0,70.78,7,HIGH
LABOUR,DAY,VANTERM,SHEDMEN (LAB),8.0,1.0,55.3,15,HIGH
LABOUR,DAY,VANTERM,UTILITY (LAB),8.0,0.0,53.17,4,HIGH
LABOUR,DAY,WATERFRONT TRAIN. CNTR,BLANK,1.0,,110.6,8,HIGH
LABOUR,GRAVEYARD,CENTENNIAL,,7.5,0.0,82.73,30,HIGH
LABOUR,GRAVEYARD,CENTENNIAL,BLANK,7.5,0.0,88.48,51,HIGH
LABOUR,GRAVEYARD,CENTENNIAL,LASHING (LAB),6.5,1.0,88.48,16,HIGH
LABOUR,GRAVEYARD,CENTENNIAL,SHEDMEN (LAB),7.5,1.0,86.05,108,HIGH
LABOUR,GRAVEYARD,CENTENNIAL,SPARE (LAB),6.5,1.0,88.48,3,HIGH
LABOUR,GRAVEYARD,NEPTUNE,,6.0,1.0,82.73,3,HIGH
LABOUR,GRAVEYARD,NEPTUNE,BLANK,6.5,1.0,86.05,49,HIGH
LABOUR,GRAVEYARD,NEPTUNE,SPARE (LAB),6.5,0.5,86.05,5,HIGH
LABOUR,GRAVEYARD,VAN WHARVES,BLANK,6.5,1.0,86.05,27,HIGH
LABOUR,GRAVEYARD,VAN WHARVES,HOLD (LAB),7.5,2.0,88.48,3,HIGH
LABOUR,GRAVEYARD,VAN WHARVES,SPARE (LAB),6.5,0.5,86.05,15,HIGH
LABOUR,GRAVEYARD,VANTERM,,4.0,1.0,82.73,6,HIGH
LABOUR,GRAVEYARD,VANTERM,BLANK,7.5,1.0,88.48,10,HIGH
LABOUR,GRAVEYARD,VANTERM,HOLD (LAB),6.5,0.5,86.05,13,HIGH
LABOUR,NIGHT,CANADA PLACE,BLANK,7.0,0.5,88.48,6,HIGH
LABOUR,NIGHT,CANADA PLACE,COASTWISE (LAB),7.5,0.5,88.48,3,HIGH
LABOUR,NIGHT,CENTENNIAL,,9.0,,66.98,13,HIGH
LABOUR,NIGHT,CENTENNIAL,BLANK,9.0,1.0,69.67,44,HIGH
LABOUR,NIGHT,CENTENNIAL,LASHING (LAB),8.0,1.0,69.67,11,HIGH
LABOUR,NIGHT,CENTENNIAL,SHEDMEN (LAB),9.0,1.0,69.67,46,HIGH
