JOB,DNG,LOCATION,SUBJOB_COMBINED,REG HR_mean,REG HR_median,REG HR_std,sample_size,REG RT_mean,REG RT_median,REG RT_std,OT HR_mean,OT HR_median,OT HR_std,OT RT_mean,OT RT_median,OT RT_std,totalpay_mean,totalpay_median,totalpay_std,confidence_mean,confidence_max
HEAD CHECKER,GRAVEYARD,CENTENNIAL,TOWER (HC),7.28978978978979,7.5,0.422575598445369,333,87.69753753753753,86.7,4.266966834439559,1.4795918367346939,1.0,2.3913019110793963,131.2824024024024,129.725,6.374035605787727,668.015930930931,650.25,145.22810259633528,0.8063063063063063,1.0
LABOUR,GRAVEYARD,CENTENNIAL,BLANK,6.630699088145897,6.5,0.4254837247529611,329,87.53951219512194,86.05,5.128353313919498,0.39285714285714285,0.25,0.4462911876519905,131.28091185410335,129.075,7.680983471718749,582.5007545731708,559.325,50.52332026858239,0.6357142857142857,0.85
HEAD CHECKER,DAY,CENTENNIAL,TOWER (HC),8.650470219435737,9.0,0.5268794733677153,319,63.60852664576802,55.95,13.977279542882632,0.8863636363636364,1.0,0.8948407443320301,94.29288401253919,83.6,29.896666630555647,563.8637460815047,503.55,131.74552292046303,0.7746081504702195,1.0
HEAD CHECKER,NIGHT,CENTENNIAL,TOWER (HC),8.738709677419354,9.0,0.5082983983039301,310,73.57141935483871,70.32,8.684638406820943,0.8272727272727273,1.0,0.483220119098619,109.00796774193549,105.155,17.025549225769062,658.7678467741936,632.88,86.94933956150984,0.7988709677419356,1.0
LABOUR,DAY,NEPTUNE,,8.269457627118644,8.0,5.746001541805966,295,59.19589830508475,53.17,10.53487837474051,0.9711538461538461,1.0,0.622502478167653,87.47191525423729,79.755,20.360957294503027,504.0912203389831,451.945,108.72519356118558,0.58,0.9
40 TON (TOP PICK),DAY,CENTENNIAL,,8.689830508474577,9.0,0.6477840078566115,295,63.74840677966101,56.3,14.612792940469745,0.36953367875647664,0.0,0.47880090042234735,94.4411186440678,83.95,23.088421254457636,576.8833440677967,506.7,138.3685496837205,0.724406779661017,0.9
LABOUR,DAY,VAN WHARVES,UTILITY (LAB),7.979310344827586,8.0,0.09975509923512742,290,56.69275862068966,55.3,6.42208613205672,1.0329457364341086,1.0,0.2018394133834639,85.01068965517243,82.95,9.634474856010767,529.8676206896553,525.35,60.71911873076222,0.7381034482758622,1.0
LABOUR,DAY,CENTENNIAL,,8.038062283737025,8.0,0.6266126829554279,289,58.65512110726644,53.17,10.88519608560579,0.47761194029850745,0.5,0.48015808492822015,83.6800865051903,79.755,24.19345695543108,480.153044982699,442.4,98.0147102136034,0.5527681660899654,0.75
TRAINING,DAY,CENTENNIAL,,8.0,8.0,0.0,288,57.12940972222222,55.3,7.41729521398961,1.1666666666666667,1.0,0.59209349991676,85.77520833333334,82.95,11.407066737739092,468.9149652777778,442.4,73.82256421148192,0.46041666666666664,0.65
HEAD CHECKER,DAY,CENTENNIAL,RAIL (HC),8.724199288256228,9.0,0.6927570302779258,281,60.96985765124555,55.95,11.567184154554585,1.2204301075268817,1.0,0.5648376235351004,91.86727758007117,83.6,18.172000331391775,642.4448754448399,587.15,130.74243905850375,0.9354092526690392,1.0
LABOUR,NIGHT,VAN WHARVES,BLANK,8.00361010830325,8.0,0.1411185888865675,277,73.25397111913358,69.67,11.59998051469018,0.968421052631579,1.0,0.3558816316168684,109.72972924187725,104.505,16.99942728198673,623.7412364620939,562.56,113.89279527683107,0.6588447653429603,1.0
LABOUR,DAY,SQUAMISH,BLANK,7.998134328358209,8.0,0.5909716089309777,268,61.50190298507462,55.3,11.717480384124846,0.2857142857142857,0.0,0.5447047794019222,92.32998134328359,82.95,17.588568717536003,596.4195149253732,601.91,111.50395701543921,0.6085820895522388,0.85
TRACTOR TRAILER,DAY,VANTERM,YARD (TT),7.98828125,8.0,0.25793177202432405,256,59.663125,55.95,9.504861769373703,0.025974025974025976,0.0,0.16010078848765152,88.404921875,83.6,16.07600386258821,477.3869921875,447.6,78.26920014231386,0.5890624999999999,0.85
RAIL MOUNTED GANTRY,GRAVEYARD,CENTENNIAL,,7.382352941176471,7.5,0.3228233484619442,255,87.79960784313727,87.05,4.0972882143863485,0.3404255319148936,0.0,0.47897516249850763,130.5890196078431,130.075,8.188426945761364,655.7446078431373,652.875,38.349810869719356,0.7241176470588235,0.75
LABOUR,GRAVEYARD,VANTERM,LASHING (LAB),6.5,6.5,0.0,254,87.5434251968504,86.05,7.723343221309357,0.5,0.5,0.7071067811865476,131.2910433070866,129.075,11.584989273900002,569.554783464567,559.325,50.95046292028044,0.5946850393700787,0.75
LABOUR,NIGHT,VANTERM,BLANK,7.9604743083003955,8.0,0.4436712956495485,253,75.98644268774703,69.67,10.352792660279732,0.5,0.5,0.5270462766947299,114.05792490118577,104.505,15.415450452100432,607.0198023715416,557.36,89.89728159877625,0.6055335968379446,0.85
HD MECHANIC,NIGHT,VANTERM,,7.991967871485944,8.0,0.14870320818626176,249,73.63064257028113,72.17,6.444917320094795,0.7380952380952381,1.0,0.515243816533678,109.10939759036144,107.005,9.782890720299228,595.2417771084338,577.36,60.916429230802486,0.5120481927710844,0.75
LABOUR,DAY,VAN WHARVES,,7.9817073170731705,8.0,0.25688624439328556,246,55.939065040650405,53.17,7.944117085311633,0.9479674796747967,1.0,0.2981774126683023,84.40152439024389,79.755,19.358276983471196,486.0988678861789,505.115,78.64698244037957,0.5721544715447154,0.9
LABOUR,DAY,LYNNTERM,SPARE (LAB),7.937759336099585,8.0,0.5166655512413784,241,61.49622406639004,55.3,11.756925771628612,0.5,0.5,0.5345224838248488,92.24340248962656,82.95,17.634642345862694,489.9046473029046,442.4,99.9531822070342,0.6076763485477178,0.85
LIQUID BULK,NIGHT,PORT MOODY,,7.939075630252101,8.0,0.5291765621400645,238,76.54915966386555,70.67,11.174630367391027,0.7027027027027027,0.5,1.7890851924449618,113.56132352941177,105.505,18.43029851084037,617.5668776371308,565.36,103.43773276796898,0.5279411764705882,0.9
HEAD CHECKER,GRAVEYARD,VANTERM,TOWER (HC),6.502118644067797,6.5,0.10815553571703443,236,86.88978813559322,86.7,2.8920091590793904,0.6994535519125683,0.5,0.8434295027608556,128.75328389830509,129.725,12.13357527732645,636.5690148305085,628.4125,105.00038853833274,0.7177966101694916,1.0
