JOB,SHIFT,LOCATION,SUBJOB,REGHRS,OTHRS,SAMPLE_SIZE
HEAD CHECKER,DAY,CENTENNIAL,RAIL PLNR -GOPHER  (HC),9.0,1.0,14
HEAD CHECKER,DAY,CENTENNIAL,REEFER (HC),8.0,1.0,40
HEAD CHECKER,DAY,CENTENNIAL,TOWER (HC),9.0,1.0,237
HEAD CHECKER,DAY,CENTENNIAL,YARD PLANNER (HC),8.0,2.0,151
HEAD CHECKER,DAY,LYNNTERM,CANOPY (HC),8.0,1.5,7
HEAD CHECKER,DAY,VANTERM,CANOPY (HC),8.0,2.0,60
HEAD CHECKER,DAY,VANTERM,GOPHER (HC),8.0,2.0,19
HEAD CHECKER,DAY,VANTERM,INGATE (HC),8.0,2.0,92
HEAD CHECKER,DAY,VANTERM,OUTGATE (HC),8.0,2.0,33
HEAD CHECKER,DAY,VANTERM,PENTHOUSE (HC),8.0,2.0,30
HEAD CHECKER,DAY,VANTERM,RAIL (HC),8.0,2.0,36
HEAD CHECKER,DAY,VANTERM,TOWER (HC),8.0,1.0,170
HEAD CHECKER,GRAVEYARD,CENTENNIAL,CANOPY (HC),7.5,1.0,4
HEAD CHECKER,GRAVEYARD,CENTENNIAL,EQUIP. CONTROL (HC),6.5,1.0,4
HEAD CHECKER,GRAVEYARD,CENTENNIAL,GOPHER (HC),6.5,1.0,3
HEAD CHECKER,GRAVEYARD,CENTENNIAL,INGATE (HC),7.5,0.5,7
HEAD CHECKER,GRAVEYARD,CENTENNIAL,RAIL (HC),7.5,1.0,109
HEAD CHECKER,GRAVEYARD,CENTENNIAL,RAIL PLANNER (HC),6.5,2.0,25
HEAD CHECKER,GRAVEYARD,CENTENNIAL,RAIL PLNR -GOPHER  (HC),7.5,1.0,14
HEAD CHECKER,GRAVEYARD,CENTENNIAL,TOWER (HC),7.5,0.0,273
HEAD CHECKER,GRAVEYARD,VANTERM,CANOPY (HC),6.5,0.5,8
HEAD CHECKER,GRAVEYARD,VANTERM,INGATE (HC),6.5,1.5,4
HEAD CHECKER,GRAVEYARD,VANTERM,RAIL (HC),6.5,1.0,56
HEAD CHECKER,GRAVEYARD,VANTERM,TOWER (HC),6.5,0.5,180
HEAD CHECKER,NIGHT,CENTENNIAL,CANOPY (HC),8.0,1.0,51
HEAD CHECKER,NIGHT,CENTENNIAL,EQUIP. CONTROL (HC),8.0,1.0,41
